Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Ambos sexos;Total Nacional;Total;2023T3;24.121,00
Ambos sexos;Total Nacional;Total;2023T2;23.819,20
Ambos sexos;Total Nacional;Total;2023T1;23.580,50
Ambos sexos;Total Nacional;Total;2022T4;23.487,80
Ambos sexos;Total Nacional;Total;2022T3;23.525,90
Ambos sexos;Total Nacional;Total;2022T2;23.387,40
Ambos sexos;Total Nacional;Total;2022T1;23.259,40
Ambos sexos;Total Nacional;Total;2021T4;23.288,80
Ambos sexos;Total Nacional;Total;2021T3;23.447,70
Ambos sexos;Total Nacional;Total;2021T2;23.215,50
Ambos sexos;Total Nacional;Total;2021T1;22.860,70
Ambos sexos;Total Nacional;Total;2020T4;23.064,10
Ambos sexos;Total Nacional;Total;2020T3;22.899,80
Ambos sexos;Total Nacional;Total;2020T2;21.975,20
Ambos sexos;Total Nacional;Total;2020T1;22.994,20
Ambos sexos;Total Nacional;Total;2019T4;23.158,80
Ambos sexos;Total Nacional;Total;2019T3;23.088,70
Ambos sexos;Total Nacional;Total;2019T2;23.035,50
Ambos sexos;Total Nacional;Total;2019T1;22.825,40
Ambos sexos;Total Nacional;Total;2018T4;22.868,80
Ambos sexos;Total Nacional;Total;2018T3;22.854,00
Ambos sexos;Total Nacional;Total;2018T2;22.834,20
Ambos sexos;Total Nacional;Total;2018T1;22.670,30
Ambos sexos;Total Nacional;Total;2017T4;22.765,00
Ambos sexos;Total Nacional;Total;2017T3;22.780,90
Ambos sexos;Total Nacional;Total;2017T2;22.727,60
Ambos sexos;Total Nacional;Total;2017T1;22.693,30
Ambos sexos;Total Nacional;Total;2016T4;22.745,90
Ambos sexos;Total Nacional;Total;2016T3;22.848,30
Ambos sexos;Total Nacional;Total;2016T2;22.875,70
Ambos sexos;Total Nacional;Total;2016T1;22.821,00
Ambos sexos;Total Nacional;Total;2015T4;22.873,70
Ambos sexos;Total Nacional;Total;2015T3;22.899,50
Ambos sexos;Total Nacional;Total;2015T2;23.015,50
Ambos sexos;Total Nacional;Total;2015T1;22.899,40
Ambos sexos;Total Nacional;Total;2014T4;23.026,80
Ambos sexos;Total Nacional;Total;2014T3;22.931,70
Ambos sexos;Total Nacional;Total;2014T2;22.975,90
Ambos sexos;Total Nacional;Total;2014T1;22.883,90
Ambos sexos;Total Nacional;Total;2013T4;23.070,90
Ambos sexos;Total Nacional;Total;2013T3;23.173,40
Ambos sexos;Total Nacional;Total;2013T2;23.207,90
Ambos sexos;Total Nacional;Total;2013T1;23.308,40
Ambos sexos;Total Nacional;Total;2012T4;23.360,40
Ambos sexos;Total Nacional;Total;2012T3;23.491,90
Ambos sexos;Total Nacional;Total;2012T2;23.489,50
Ambos sexos;Total Nacional;Total;2012T1;23.433,00
Ambos sexos;Total Nacional;Total;2011T4;23.440,30
Ambos sexos;Total Nacional;Total;2011T3;23.482,50
Ambos sexos;Total Nacional;Total;2011T2;23.466,20
Ambos sexos;Total Nacional;Total;2011T1;23.347,30
Ambos sexos;Total Nacional;Total;2010T4;23.377,10
Ambos sexos;Total Nacional;Total;2010T3;23.404,40
Ambos sexos;Total Nacional;Total;2010T2;23.406,40
Ambos sexos;Total Nacional;Total;2010T1;23.270,50
Ambos sexos;Total Nacional;Total;2009T4;23.225,40
Ambos sexos;Total Nacional;Total;2009T3;23.219,80
Ambos sexos;Total Nacional;Total;2009T2;23.293,80
Ambos sexos;Total Nacional;Total;2009T1;23.302,60
Ambos sexos;Total Nacional;Total;2008T4;23.262,10
Ambos sexos;Total Nacional;Total;2008T3;23.157,10
Ambos sexos;Total Nacional;Total;2008T2;23.032,60
Ambos sexos;Total Nacional;Total;2008T1;22.810,40
Ambos sexos;Total Nacional;Total;2007T4;22.659,90
Ambos sexos;Total Nacional;Total;2007T3;22.559,60
Ambos sexos;Total Nacional;Total;2007T2;22.354,10
Ambos sexos;Total Nacional;Total;2007T1;22.130,80
Ambos sexos;Total Nacional;Total;2006T4;22.014,80
Ambos sexos;Total Nacional;Total;2006T3;21.857,80
Ambos sexos;Total Nacional;Total;2006T2;21.726,00
Ambos sexos;Total Nacional;Total;2006T1;21.521,30
Ambos sexos;Total Nacional;Total;2005T4;21.369,50
Ambos sexos;Total Nacional;Total;2005T3;21.205,60
Ambos sexos;Total Nacional;Total;2005T2;21.129,70
Ambos sexos;Total Nacional;Total;2005T1;20.857,40
Ambos sexos;Total Nacional;Total;2004T4;20.667,70
Ambos sexos;Total Nacional;Total;2004T3;20.488,90
Ambos sexos;Total Nacional;Total;2004T2;20.266,50
Ambos sexos;Total Nacional;Total;2004T1;20.080,00
Ambos sexos;Total Nacional;Total;2003T4;20.017,10
Ambos sexos;Total Nacional;Total;2003T3;19.893,50
Ambos sexos;Total Nacional;Total;2003T2;19.639,20
Ambos sexos;Total Nacional;Total;2003T1;19.421,20
Ambos sexos;Total Nacional;Total;2002T4;19.224,30
Ambos sexos;Total Nacional;Total;2002T3;19.115,30
Ambos sexos;Total Nacional;Total;2002T2;18.870,20
Ambos sexos;Total Nacional;Total;2002T1;18.635,10
Ambos sexos;Total Nacional;De 16 a 19 años;2023T3;353,4
Ambos sexos;Total Nacional;De 16 a 19 años;2023T2;284,3
Ambos sexos;Total Nacional;De 16 a 19 años;2023T1;258,7
Ambos sexos;Total Nacional;De 16 a 19 años;2022T4;268,2
Ambos sexos;Total Nacional;De 16 a 19 años;2022T3;333,2
Ambos sexos;Total Nacional;De 16 a 19 años;2022T2;295,7
Ambos sexos;Total Nacional;De 16 a 19 años;2022T1;265
Ambos sexos;Total Nacional;De 16 a 19 años;2021T4;242
Ambos sexos;Total Nacional;De 16 a 19 años;2021T3;322,6
Ambos sexos;Total Nacional;De 16 a 19 años;2021T2;270
Ambos sexos;Total Nacional;De 16 a 19 años;2021T1;193,3
Ambos sexos;Total Nacional;De 16 a 19 años;2020T4;217,9
Ambos sexos;Total Nacional;De 16 a 19 años;2020T3;268,5
Ambos sexos;Total Nacional;De 16 a 19 años;2020T2;198,6
Ambos sexos;Total Nacional;De 16 a 19 años;2020T1;246,4
Ambos sexos;Total Nacional;De 16 a 19 años;2019T4;261,1
Ambos sexos;Total Nacional;De 16 a 19 años;2019T3;308,7
Ambos sexos;Total Nacional;De 16 a 19 años;2019T2;278,6
Ambos sexos;Total Nacional;De 16 a 19 años;2019T1;250,4
Ambos sexos;Total Nacional;De 16 a 19 años;2018T4;256,2
Ambos sexos;Total Nacional;De 16 a 19 años;2018T3;303,2
Ambos sexos;Total Nacional;De 16 a 19 años;2018T2;270,5
Ambos sexos;Total Nacional;De 16 a 19 años;2018T1;236,5
Ambos sexos;Total Nacional;De 16 a 19 años;2017T4;258,6
Ambos sexos;Total Nacional;De 16 a 19 años;2017T3;298,1
Ambos sexos;Total Nacional;De 16 a 19 años;2017T2;252,1
Ambos sexos;Total Nacional;De 16 a 19 años;2017T1;228,9
Ambos sexos;Total Nacional;De 16 a 19 años;2016T4;234,4
Ambos sexos;Total Nacional;De 16 a 19 años;2016T3;267,4
Ambos sexos;Total Nacional;De 16 a 19 años;2016T2;232,6
Ambos sexos;Total Nacional;De 16 a 19 años;2016T1;224
Ambos sexos;Total Nacional;De 16 a 19 años;2015T4;234,6
Ambos sexos;Total Nacional;De 16 a 19 años;2015T3;291,7
Ambos sexos;Total Nacional;De 16 a 19 años;2015T2;255,6
Ambos sexos;Total Nacional;De 16 a 19 años;2015T1;242,4
Ambos sexos;Total Nacional;De 16 a 19 años;2014T4;250
Ambos sexos;Total Nacional;De 16 a 19 años;2014T3;275,3
Ambos sexos;Total Nacional;De 16 a 19 años;2014T2;243,2
Ambos sexos;Total Nacional;De 16 a 19 años;2014T1;241,6
Ambos sexos;Total Nacional;De 16 a 19 años;2013T4;266,2
Ambos sexos;Total Nacional;De 16 a 19 años;2013T3;322,7
Ambos sexos;Total Nacional;De 16 a 19 años;2013T2;280,8
Ambos sexos;Total Nacional;De 16 a 19 años;2013T1;273,5
Ambos sexos;Total Nacional;De 16 a 19 años;2012T4;262,9
Ambos sexos;Total Nacional;De 16 a 19 años;2012T3;337,2
Ambos sexos;Total Nacional;De 16 a 19 años;2012T2;323,2
Ambos sexos;Total Nacional;De 16 a 19 años;2012T1;300,5
Ambos sexos;Total Nacional;De 16 a 19 años;2011T4;300,8
Ambos sexos;Total Nacional;De 16 a 19 años;2011T3;394,3
Ambos sexos;Total Nacional;De 16 a 19 años;2011T2;353
Ambos sexos;Total Nacional;De 16 a 19 años;2011T1;331,4
Ambos sexos;Total Nacional;De 16 a 19 años;2010T4;344,3
Ambos sexos;Total Nacional;De 16 a 19 años;2010T3;409,8
Ambos sexos;Total Nacional;De 16 a 19 años;2010T2;417
