Comunidades;Defunciones;Nacimientos;Población
Andalucía;79339;65650;8484804
Aragón;14516;9463;1331938
Asturias;13367;4785;1012117
Islas Baleares;8802;9520;1183415
Canarias;17149;12732;2178924
Cantabria;6052;3285;584708
Castilla y León;29299;13095;2385223
Castilla La Mancha;20417;14534;2052505
Cataluña;69342;57634;7749896
Comunitat Valenciana;49648;35677;5067911
Extremadura;12318;7247;1061636
Galicia;32853;14787;2698177
Madrid;49857;51366;6726640
Murcia;12683;13815;1518279
 Navarra;5771;5113;662032
País Vasco;23086;14276;2212628
La Rioja;3411;2192;319444
Ceuta;674;719;84071
Melilla;565;933;86450
